"","Assoc","Beta0","Beta1","Sigma","A11","A22","SE0","SE1","SEy","Time"
"1",0.53599136989557,-0.209106443118325,0.299281483816722,0.497604142784869,0.5468453,0.2927624,0.0421656692941954,0.0280085402883373,0.0908414763810129,0.172203063964844
"2",0.598526801219506,-0.143509110107047,0.286332517099238,0.512745181109776,0.4621691,0.2862813,0.0384929057489213,0.0270609413486706,0.105829394000955,0.219539880752563
"3",0.465957649952403,-0.204506413423623,0.294865972791464,0.496845973341885,0.4658341,0.2946932,0.038186368198235,0.0281565875509783,0.104877522472127,0.141623973846436
"4",0.632374389889652,-0.175249508996554,0.237606412610922,0.497250681572853,0.4647745,0.330453,0.0379829995333899,0.0295108994831866,0.11390406714621,0.177559852600098
"5",0.54408255229117,-0.207173582684598,0.263852356828865,0.506251081335217,0.4835072,0.27341,0.0394005135675824,0.0258130721301594,0.0958658272990553,0.137028932571411
"6",0.653202978511648,-0.20267972037578,0.26499724895239,0.488526044982352,0.4888635,0.2894018,0.0387998167954748,0.0268850030044258,0.11184661549272,0.161366939544678
"7",0.579518617148838,-0.261818937710622,0.281231880782327,0.501125074233089,0.4859594,0.2896516,0.0393547764924977,0.0272728083388371,0.102211786752307,0.107714891433716
"8",0.526963316086719,-0.24986775219516,0.217420747325332,0.512355995732091,0.5170734,0.3429537,0.0412592738196508,0.0309421656451867,0.101851273656046,0.139743089675903
"9",0.488134359110942,-0.17688481619063,0.313686348841105,0.482779596387375,0.5071425,0.3098091,0.0399105810578251,0.0279752765837104,0.0901683988968091,0.156049966812134
"10",0.510399725614304,-0.25464279330901,0.270195113239621,0.472102351064138,0.5351892,0.3326282,0.0409431732902302,0.0303131551458557,0.0972087254612307,0.130827903747559
"11",0.639282453835456,-0.109893189974268,0.162822293083233,0.525039129786646,0.4737896,0.2462093,0.0392998789844979,0.0237306028157129,0.134346381820176,0.161917209625244
"12",0.657206643723694,-0.236882087977204,0.325760788102134,0.500750895467804,0.5317529,0.3081637,0.0416600378884352,0.0290284669605131,0.115936823599212,0.19871997833252
"13",0.630757278930455,-0.202783246153619,0.276884226995633,0.503932364395318,0.4766212,0.2633714,0.0386973150839278,0.0258324203952623,0.110873045709515,0.206485033035278
"14",0.435032243166808,-0.221550350822962,0.258858943822265,0.477173480290711,0.5409211,0.3087861,0.041505910241183,0.0280991973088352,0.10050352653406,0.121679067611694
"15",0.551619070151199,-0.206175414241168,0.252373497250404,0.501853567231333,0.5190684,0.2818663,0.0411955148250709,0.0271679379947159,0.0917038705423886,0.165947914123535
"16",0.524636988509792,-0.212148715827624,0.264158281614043,0.511176029889457,0.5535746,0.2767198,0.0432347517722074,0.0272181402074236,0.0981829704098939,0.136145114898682
"17",0.587028618020609,-0.135058706110288,0.269154930707464,0.513250896331238,0.5039118,0.2926911,0.040710698564546,0.029798349240123,0.115120567860129,0.227357149124146
"18",0.576962939576502,-0.212889514526144,0.256965726560487,0.496988850311538,0.5648182,0.2326323,0.0428292564738632,0.0222218185500966,0.0967894460441088,0.0618879795074463
"19",0.328370179405421,-0.0743848686453572,0.261333345931815,0.49641288782339,0.5211191,0.2827807,0.0406187703811102,0.0275333990895851,0.103701418657665,0.156580924987793
"20",0.474143465947169,-0.161119498686704,0.216478557323591,0.496780378865083,0.4760813,0.2752125,0.0385564884751716,0.0262706873176154,0.128444056315282,0.188570976257324
"21",0.433239621655373,-0.231025872895279,0.211844025720663,0.503435948409985,0.5402463,0.2780133,0.0419697217671431,0.0270419872618681,0.0893023627010983,0.232486009597778
"22",0.73968097223,-0.122557243910865,0.266901416280581,0.502659406358426,0.4714559,0.3124675,0.0386505705142333,0.0293109524058252,0.115411663962224,0.114696025848389
"23",0.593363531979004,-0.164913424847726,0.287972533838912,0.514239801406909,0.4985992,0.2928038,0.0401755490648759,0.0263692812922832,0.115040993077389,0.0960509777069092
"24",0.764050780930402,-0.237988650232184,0.324268968050668,0.518056311903213,0.5683533,0.2759159,0.0440517268902276,0.027130204418052,0.115528043245332,0.201573133468628
"25",0.596046068886805,-0.14094805774125,0.248047251154633,0.505873069697429,0.5802568,0.2850052,0.0443658474709816,0.0278474441660374,0.113975120385639,0.125664949417114
"26",0.548698942734639,-0.220843830054867,0.235243363854611,0.512615121630338,0.4739564,0.280804,0.038987719958614,0.0265344459239913,0.109731817747382,0.163872957229614
"27",0.530714219403035,-0.201922502980968,0.291650200351696,0.515962493836038,0.5822693,0.2921793,0.0448453192455159,0.0290606303987748,0.120148611006475,0.195899963378906
"28",0.597691940581619,-0.232546129029787,0.278174523186442,0.481440742108971,0.4616692,0.3326132,0.0375706412174044,0.0303412936026868,0.0979695196192464,0.172136068344116
"29",0.609170213829397,-0.175872977632697,0.226448716454678,0.506545125985747,0.5248314,0.2943047,0.0412218448908169,0.0272394410881159,0.101223850838534,0.165524959564209
"30",0.715560275100068,-0.183634968162694,0.256465072035636,0.509837197998761,0.4269164,0.2995142,0.0365016946019553,0.027413631166398,0.126262835255435,0.224426031112671
"31",0.741609290552388,-0.21637242937276,0.287475011680278,0.518716738537897,0.507523,0.2886259,0.0406658850283483,0.0272368405253286,0.098329173135189,0.196683883666992
"32",0.440669252528037,-0.201759009273139,0.280227269364532,0.498510002611397,0.4949484,0.2966164,0.039684279085705,0.0281921157748343,0.106954621161677,0.135174989700317
"33",0.593757246506699,-0.24578501256103,0.251896707773852,0.486739646479809,0.5473186,0.2831092,0.0417771038892135,0.0260168032707502,0.106552745073548,0.129703044891357
"34",0.623441574134988,-0.175759636444166,0.271783367414416,0.473505532344932,0.5041738,0.3143408,0.0392839697342422,0.0284316181780863,0.104349800009071,0.13956880569458
"35",0.503655378990244,-0.198837071998788,0.282524700735609,0.515226902688594,0.5079838,0.2992844,0.0410274837923549,0.0293850720390177,0.0944532712805464,0.206498861312866
"36",0.566761416165309,-0.203033641505351,0.266121402271803,0.498035791722195,0.4931112,0.3340656,0.0393971607033243,0.0303619665544946,0.0988482822880532,0.141772985458374
"37",0.699593433473711,-0.218775171618106,0.283611541042226,0.467963762257591,0.4920891,0.3354877,0.0389728806291578,0.0305134609692532,0.108476678335398,0.133641958236694
"38",0.47418649472797,-0.282199651374037,0.297821408251831,0.51525433093242,0.4812633,0.3047391,0.0397511678519498,0.0286030202927242,0.11172236355474,0.168516874313354
"39",0.714983720112164,-0.153190104514017,0.294541328218617,0.511463564722825,0.5615939,0.2749976,0.043178087984345,0.0262873958644698,0.111997042901354,0.146960973739624
